cmd_id,src_regex,dep_command,rep_command,cmd_mode
1,aaa authorization console,aaa authorization console,aaa authorization serial-console,(config mode)
2,area nssa translate type7 always,area nssa translate type7 always,area not-so-stubby lsa type-7 convert type-5,(router ospf mode)
3,arp timeout,arp timeout,arp aging timeout,(interface mode)
4,bfd all-interfaces,bfd all-interfaces,bfd default,(router ospf mode) (router ospfv3 mode)
5,bgp listen limit,bgp listen limit,dynamic peer max <n>,(router bgp mode)
6,class-map type control-plane,class-map type control-plane,class-map type copp,(config mode)
7,clear ip arp,clear ip arp,clear arp,(enable mode)
8,clear ip nat translation,clear ip nat translation,clear ip nat flow translation,(enable mode)
9,clear ipv6 ospf force-spf,clear ipv6 ospf force-spf,clear ospfv3 ipv6 force-spf,(enable mode)
10,control-plane,control-plane,system control-plane,(config mode)
11,default-metric,default-metric,metric default,(router rip)
12,dot1x max-reauth-req,dot1x max-reauth-req,dot1x reauthorization request limit <n>,(interface mode)
13,enable secret,enable secret,enable password,(config mode)
14,erase startup-config,erase startup-config,delete startup-config,(enable mode)
15,errdisable detect cause link-flap,errdisable detect cause link-flap,errdisable detect cause link-change,(interface mode) (config mode)
16,ip community-list expanded,ip community-list expanded,ip community-list regexp,(config mode)
17,ip dhcp smart-relay,ip dhcp smart-relay,ip dhcp relay all-subnets,(interface mode)
18,ip dhcp smart-relay global,ip dhcp smart-relay global,ip dhcp relay all-subnets default,(config mode)
19,ip domain-name,ip domain-name,dns domain,(config mode)
20,ip extcommunity-list expanded,ip extcommunity-list expanded,ip extcommunity-list regexp,(config mode)
21,ip extcommunity-list standard,ip extcommunity-list standard,ip extcommunity-list,(config mode)
22,ip http client source-interface,ip http client source-interface,ip http client local-interface,(config mode)
23,ip igmp query-max-response-time,ip igmp query-max-response-time,"igmp query-max-response-time, query-max-response-time",(interface mode)
24,ip igmp query-max-response-time,ip igmp query-max-response-time,query-max-response-time,(router igmp mode)
25,ip igmp snooping vlan immediate-leave,ip igmp snooping vlan immediate-leave,ip igmp snooping vlan fast-leave,(config mode)
26,ip igmp snooping vlan mrouter,ip igmp snooping vlan mrouter,ip igmp snooping vlan multicast-router,(config mode)
27,ip igmp snooping vlan static,ip igmp snooping vlan static,ip igmp snooping vlan member,(config mode)
28,ip msdp cache-sa-state,ip msdp cache-sa-state,<removed>,(router msdp mode)
29,ip msdp default-peer,ip msdp default-peer,default-peer,(router msdp peer mode)
30,ip msdp description,ip msdp description,description,(router msdp peer mode)
31,ip msdp group-limit,ip msdp group-limit,sa-limit,(router msdp mode)
32,ip msdp keepalive,ip msdp keepalive,keepalive,(router msdp peer mode)
33,ip msdp mesh-group,ip msdp mesh-group,mesh-group,(router msdp peer mode)
